f1,f2,f3,f4,label
-1.868345,-0.998194,-1.390670,-0.126780,0
-0.687180,0.215879,-0.582785,0.932094,0
0.225157,-1.325297,0.656873,-0.405183,0
0.330005,-0.173443,0.217439,-0.385296,1
0.934289,0.482494,-1.180140,-1.099306,1
-0.245003,0.448016,-0.896538,1.177074,0
-2.012782,-0.475317,-2.585185,-0.751729,1
-0.610410,-0.325254,-0.394102,-0.593734,1
1.214902,-1.141841,1.253900,-1.621367,1
1.525193,-2.239553,0.574786,-1.253494,0
-0.180203,1.697204,-0.810603,-0.069015,1
-0.251777,-0.822067,-0.059200,0.093511,0
-0.943052,-0.449131,0.322943,-0.167167,0
-0.017003,-0.695839,-0.799690,0.440730,0
1.165384,0.217305,-1.276541,0.283027,1
0.762161,1.158850,-0.366419,-0.707763,1
-0.981088,-0.746442,0.284502,0.015266,0
-0.738256,0.347886,-0.501599,-1.040157,1
-0.264494,-1.070041,0.827176,0.846012,0
0.131040,0.527308,-0.030922,0.891292,1
0.080493,0.440253,0.873452,-0.338043,0
0.906001,-1.568764,1.788837,0.870433,0
0.051096,1.751358,-0.946226,-1.160193,1
-0.261797,-1.006469,0.153861,0.135945,0
1.603053,-1.392074,-1.276723,0.376120,1
0.417727,-0.618971,-1.033340,-0.645543,1
0.524996,-0.479958,0.761430,0.588075,0
0.900719,0.784353,0.769853,-0.516692,1
-1.830127,0.291751,-0.673766,0.401545,0
-1.352094,-1.013839,-0.349346,-0.517601,0
-1.155424,0.047178,-1.688486,-2.155110,1
-1.305313,-0.559918,-1.417363,-1.408871,1
-0.410128,0.982587,0.449512,-0.261119,1
1.116554,0.411298,-0.406316,1.018603,1
0.660534,1.770677,0.926599,0.848859,1
-1.113549,-0.049483,-1.669458,-0.592954,1
-0.665155,0.533191,-1.351251,-0.493641,1
0.208512,0.290283,1.704724,1.296804,0
1.317899,-0.615244,-0.017590,0.015213,1
-1.129267,0.451861,0.524015,0.811513,0
1.003412,-0.711544,1.147059,0.352240,0
0.407920,0.179305,-0.355656,-0.736254,1
-1.442157,1.690719,-1.128279,-0.661283,1
0.585031,0.720245,1.516708,-0.312143,0
0.844268,0.796278,-0.326889,-1.265580,1
0.575847,-1.373474,0.779954,-1.440977,0
-1.123309,-0.637831,-0.833311,-0.613311,1
0.294591,0.628732,1.092342,-0.372703,1
0.538153,1.706739,0.899078,1.381551,1
1.057265,-1.784670,0.880859,0.212925,0
-0.527255,-0.425274,0.416181,0.839976,0
0.218104,-0.560687,-0.950803,0.392622,1
-0.659037,-0.769165,0.281299,-0.010038,0
-0.840998,-0.182506,0.405148,-1.049715,0
-0.824003,2.727745,-0.941003,-0.790126,1
-0.902381,0.827631,1.801416,-0.387620,0
-0.517760,-0.000029,1.431734,0.894246,0
1.545904,1.162061,0.486368,-0.659217,1
-0.795466,0.467606,-0.316471,-2.234962,1
0.191453,1.078483,-0.136180,0.188467,1
0.387797,0.288002,3.214391,-0.169000,0
1.734029,-0.805008,-1.040997,-1.432066,1
0.625631,0.741488,-1.353560,1.005859,1
-0.097311,0.032566,0.675596,0.367144,0
-1.086086,-0.174622,-1.212473,0.631277,0
-0.098815,0.296799,-1.556516,0.857925,1
0.129051,1.115370,-0.756501,1.197234,1
0.028190,0.556046,-1.247026,0.594106,1
1.036277,-0.216807,-0.363317,0.369638,1
-1.173969,-0.193958,1.267630,-0.093104,0
0.715937,-1.853444,-2.120267,-0.004150,1
0.220399,-0.892783,-0.150500,-1.398733,1
-1.615319,-0.149243,0.261579,-1.756626,0
0.788146,1.548968,-1.503960,0.339918,1
-1.345258,1.596074,0.668182,-0.804194,1
0.641946,0.181293,2.247279,0.605779,0
-0.290200,-0.736576,-0.204147,0.013466,0
-1.084918,1.363405,0.597342,-0.670739,1
0.675181,1.267307,-1.055313,0.779882,1
1.155045,-0.192449,-2.271779,0.035354,1
-0.217149,-0.058192,-0.401305,-1.486920,1
-0.844591,-0.248109,1.288500,0.709085,0
1.273878,-1.368062,0.685021,-0.175235,0
0.638462,-0.679575,0.801158,-0.009310,1
-0.304261,1.269175,0.647090,-1.174126,1
-1.060411,-2.231995,0.853316,1.068953,0
-0.261019,1.583682,0.711868,-0.655866,1
-1.243292,-0.558968,-1.051130,-2.200017,1
1.222328,-1.097822,-0.550032,-1.160974,1
0.001197,0.490745,-0.105687,-1.171027,1
0.837266,-0.057407,0.774402,-3.162596,1
-0.493967,2.172857,-0.510755,0.028269,1
-0.875795,0.872738,-0.645216,1.289103,0
0.495637,-0.724194,-0.210571,0.299912,0
-0.551749,0.938074,-1.268181,1.278978,1
0.323257,-1.147664,0.484378,0.462728,0
1.354070,1.253524,0.208919,-1.226164,1
-1.304135,-0.438710,0.737109,0.443558,0
-0.004053,-1.690069,-0.275258,0.174060,0
1.412454,-0.247613,-1.435847,0.466789,1
1.699892,0.270094,-1.403284,1.079392,1
-2.004056,0.903074,0.484028,0.175680,0
0.491886,-0.693005,1.410990,-1.349524,1
1.527687,-1.186135,-0.005400,1.419859,0
-0.162409,-0.402377,1.167473,-0.607683,0
0.540215,-0.207602,-0.866432,-1.341549,1
-1.179804,-1.720550,-0.726877,0.300215,0
-0.826633,-1.018019,-0.993389,-1.387898,0
0.714362,-1.404612,0.017316,-0.618054,1
-1.796928,0.193301,-0.333751,-0.771130,0
0.155585,-1.068905,0.426277,0.389169,0
-0.609971,1.470444,-0.196817,-1.976012,1
-0.081590,-0.882351,0.933240,-0.471628,0
-0.082701,0.750322,0.679478,0.473168,0
0.919713,0.021762,2.002261,0.478670,0
-0.764893,-0.406142,0.096718,-1.170476,0
-0.108583,-0.077871,0.202075,1.117104,0
0.680876,-0.144635,-0.194012,0.257068,0
0.066357,-0.638257,-0.929839,-1.886991,1
-1.877436,0.870123,-0.239307,-1.682072,1
0.754954,-0.594883,-0.281218,-0.369183,1
-1.699767,-0.045460,-0.558093,2.953779,0
-0.455625,0.988477,-0.156032,0.253342,0
1.555228,-0.627675,0.375350,1.132358,0
-0.000149,0.586513,0.682682,-1.090098,1
-0.945369,-0.745370,-0.648391,1.215978,0
2.605453,-0.056550,-0.841407,-0.969482,1
-1.538378,-0.316969,-0.566063,1.749995,0
1.101663,1.313353,-0.166770,0.465495,1
-0.088208,-0.215027,-2.579583,0.415377,1
-1.693376,-1.412276,-0.749289,-0.529182,0
-0.958124,-1.007857,0.306513,-0.475248,0
-0.229680,0.457200,-0.154275,0.861539,0
0.889034,1.247082,-1.460475,0.921995,1
-0.972529,-0.031871,-0.357204,0.440834,0
-0.669296,1.312557,-0.856681,-0.138319,1
1.953438,-0.512655,0.782295,0.220042,0
-0.955188,-1.204771,-0.503317,-0.416788,0
1.277694,0.422476,2.653063,-0.243428,0
0.414412,1.506567,-0.378716,0.845258,1
-0.720813,-0.074872,0.504306,-0.434779,0
1.832733,-0.229650,1.734093,-0.508425,1
0.797139,-0.206019,-0.898868,-0.719911,1
-0.666114,0.088068,-2.257286,-0.558122,1
-0.512642,-0.993587,-0.883505,0.070521,1
-1.398426,-0.276260,0.977050,0.334458,0
-0.450713,0.013262,-0.101064,-2.186462,1
-1.949589,1.291057,0.822649,-0.788234,0
2.448647,-0.623076,1.299275,0.362505,1
-1.105911,-0.555925,-0.394913,-2.315776,1
-0.321731,0.459244,-0.419227,2.998273,0
-0.933059,0.705205,2.358468,-0.992419,0
-0.917029,1.293367,0.075395,2.229999,0
-0.647723,2.935701,-1.124159,-0.313621,1
-0.734783,-0.641351,0.130630,0.452487,0
-0.745697,0.196894,0.637425,1.503991,0
-1.252979,0.028417,-0.620594,1.319031,0
0.559733,-1.065396,1.272057,0.771162,0
0.504939,-0.336880,0.675777,-0.049627,0
0.058576,-2.481191,-0.513658,1.517492,0
0.104549,-0.126034,-0.335248,0.630561,0
-0.979092,0.661650,1.232897,-0.954865,0
0.463565,0.722753,-0.420535,-0.528678,1
0.385233,0.429119,-0.019418,-1.364224,1
0.636824,-1.221088,0.226357,-0.360798,0
0.026698,1.676352,0.288817,-0.295666,1
0.512238,1.136703,0.607376,1.165954,1
-1.303275,-0.044950,0.524868,0.721012,0
-0.063365,0.365870,1.271293,1.005239,0
0.396223,-1.025281,-1.100960,-0.091855,1
0.395353,0.561096,-1.501556,-1.461654,1
-0.034638,-1.313688,0.882167,0.258036,0
1.250000,0.346697,-0.151110,0.232296,1
-1.438797,0.927522,0.274858,-2.754707,1
-0.828742,0.980890,-0.044055,1.487407,0
-1.075786,1.067095,-0.655221,-1.058632,1
-0.759824,0.539328,1.118168,-1.586919,1
0.014244,0.082194,0.833256,0.119847,0
-1.111894,-1.824709,-0.371112,0.014410,0
-0.377769,2.323704,-0.076480,-0.483344,1
-0.970559,0.208908,-2.064097,0.676094,1
0.210571,0.154809,-1.273756,-0.898621,1
0.494598,-0.597263,0.421081,0.407711,1
1.110351,0.411169,-0.449185,1.783690,1
-0.870512,-1.220246,-0.862397,-0.364085,0
0.913185,1.151070,0.152977,0.831493,1
0.910289,1.602883,-1.510639,-0.741799,1
-2.677034,0.073678,1.392449,-0.535317,0
-0.854054,-0.491728,0.285310,-1.195776,1
-1.918759,0.322234,-0.491482,1.489145,0
-2.084159,-2.422397,-1.001356,-0.502226,0
0.030245,0.673596,-1.365991,-1.800547,1
-0.360981,-0.103373,-0.641830,-0.173209,1
-1.623270,-1.225530,0.641602,1.567408,0
-1.262716,-2.001120,0.260542,-1.249354,0
2.341604,0.226301,0.485462,-0.117913,1
-0.003070,0.063357,1.360403,0.626183,0
-1.636830,-0.555582,-0.903906,0.841779,0
0.602332,-1.168988,-0.094341,2.296995,0
-1.878532,0.364586,0.826353,-0.493407,0
0.661988,0.100825,0.552541,-0.158051,1
-0.913841,-0.495999,0.514885,0.731742,0
1.297313,-1.458118,0.006400,-0.307027,0
1.133250,-2.347053,-0.730783,-0.902764,1
1.550421,0.775469,1.395285,-2.224554,1
-1.383033,-0.374965,0.244672,0.094625,0
-1.978635,-0.835736,-1.480630,-1.638791,1
0.182419,1.556614,1.185206,0.068150,1
0.991792,-0.691603,-1.199424,-1.150410,1
1.265530,0.052609,1.224429,0.091342,0
2.721174,1.821045,0.196907,-0.832195,1
0.401358,-0.255512,0.467001,0.323041,0
1.142228,0.314220,-0.723444,-0.770549,1
-1.071827,0.718342,0.714193,-0.043883,0
-1.776339,-1.123965,-1.625930,0.026671,0
-0.920662,0.872605,0.129328,0.047587,1
1.036452,-1.602824,0.706680,-1.808937,1
1.012146,0.691222,0.664741,0.182085,1
-1.540801,-0.305155,0.047349,2.035285,0
1.038428,-0.761346,2.249662,0.471808,0
2.345359,-1.426908,-0.868700,-0.234001,1
0.527211,0.276763,0.113508,1.893807,0
1.366386,-0.824652,1.462164,1.905214,0
-0.190514,-1.163259,0.327926,-0.053369,0
0.735545,-0.922678,1.442009,0.965164,0
0.036164,-0.242567,-0.457393,3.098311,0
0.055338,0.991472,-0.384339,-0.628543,1
1.192035,0.712003,0.469934,-1.508796,1
0.285304,-0.338064,-1.376741,-0.056683,1
0.080035,0.063340,-0.338158,0.882023,0
0.529087,0.418402,1.008173,-0.964060,1
0.921995,0.153533,1.125805,0.745243,0
0.880511,-0.257486,0.956604,1.853764,0
2.289501,-1.551582,-0.548375,-0.266345,1
0.372448,-0.368109,1.106107,0.984760,0
-1.012213,0.547374,0.674290,0.353885,0
1.400335,-0.548381,-0.366697,0.667056,1
0.852598,-0.284011,-1.314706,-1.237582,1
0.792425,0.792264,-1.815911,0.533896,1
-1.042106,2.190775,0.263958,0.827415,1
-0.581119,-0.396790,1.489016,-1.307671,0
0.046215,0.970181,0.405391,-0.913180,1
0.845149,-1.051004,-0.687803,-0.525807,1
1.064667,-0.323843,-0.277830,-1.037756,1
1.484952,0.748288,-1.617397,-0.989707,1
-0.498122,-0.553240,-0.860492,-1.331069,1
-0.380272,1.140378,-0.066708,-0.965171,1
1.346147,-0.735737,-1.702576,-0.478966,1
1.641618,-1.387745,-0.327695,1.473522,0
-0.513661,-0.783064,-0.181497,-0.240155,0
-0.154665,-1.349970,0.985773,1.036533,0
0.772125,0.051247,-1.206798,-0.081075,1
-0.634155,-0.938898,0.332845,0.186484,0
-0.919855,-0.002692,0.464368,0.072241,0
1.286905,1.772312,1.583793,0.544104,1
-0.654192,0.188579,-1.130629,0.121760,0
0.585202,-0.354556,0.767069,0.182574,0
0.843326,-1.173405,-0.264852,-0.537544,1
-0.075515,0.270019,0.525471,-2.346115,1
0.115930,1.012476,0.572588,1.310766,0
0.100680,-0.499799,-0.435672,-0.830437,1
-0.190468,-0.651554,0.026575,-1.818634,1
0.177457,0.446229,-0.463497,-0.508220,1
-0.154504,1.986549,-1.406118,-0.247365,1
-0.786745,-0.789992,-0.480732,0.782842,0
0.610012,-1.440888,-0.405526,1.319809,0
0.272280,0.630106,0.575975,0.628006,1
-1.038454,-0.070739,0.637269,0.749642,0
1.306537,-0.500995,-1.349720,1.272387,1
-0.548686,0.035760,-0.432276,1.006208,0
0.311733,0.540870,0.032608,1.026509,0
-1.168195,-0.039931,-0.413477,-0.950516,1
-0.978384,0.217361,0.124290,0.057697,0
-0.193166,1.226937,0.543523,0.962839,0
-1.702283,-0.466468,-0.150678,1.301508,0
0.424845,-0.856528,0.128447,-0.261731,0
-1.233522,0.463905,-0.029843,0.804382,0
-1.126982,3.646272,-0.880050,0.287583,1
-0.982186,1.727607,-0.065620,0.149480,1
-0.791021,-0.487641,-0.345513,-1.372646,1
0.473054,0.183320,0.655830,0.865654,0
-0.241441,1.220417,-0.696664,1.396358,1
0.764803,1.826552,-2.264798,-0.192260,1
1.707387,-0.406822,2.729020,-1.527903,1
-0.386302,0.505090,-0.565144,-0.451032,1
